nombre_sensor,fecha_hora,valor_medicion
HUM_AMB_40CM,2026-05-31 06:00:00+00:00,97.51
HUM_SUELO_01,2026-05-31 06:00:00+00:00,64.04
HUM_SUELO_02,2026-05-31 06:00:00+00:00,45.04
HUM_SUELO_03,2026-05-31 06:00:00+00:00,48.0
HUM_SUELO_04,2026-05-31 06:00:00+00:00,51.0
LUZ,2026-05-31 06:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 06:00:00+00:00,4.77
TEMP_AMB_40CM,2026-05-31 06:00:00+00:00,5.01
TEMP_SUELO_01,2026-05-31 06:00:00+00:00,12.0
TEMP_SUELO_02,2026-05-31 06:00:00+00:00,9.84
HUM_AMB_2M,2026-05-31 05:00:00+00:00,100.0
HUM_AMB_40CM,2026-05-31 05:00:00+00:00,97.16
HUM_SUELO_01,2026-05-31 05:00:00+00:00,64.08
HUM_SUELO_02,2026-05-31 05:00:00+00:00,45.08
HUM_SUELO_03,2026-05-31 05:00:00+00:00,48.0
HUM_SUELO_04,2026-05-31 05:00:00+00:00,51.04
LUZ,2026-05-31 05:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 05:00:00+00:00,5.2
TEMP_AMB_40CM,2026-05-31 05:00:00+00:00,5.47
TEMP_SUELO_01,2026-05-31 05:00:00+00:00,12.39
TEMP_SUELO_02,2026-05-31 05:00:00+00:00,10.32
HUM_AMB_2M,2026-05-31 04:00:00+00:00,100.0
HUM_AMB_40CM,2026-05-31 04:00:00+00:00,96.56
HUM_SUELO_01,2026-05-31 04:00:00+00:00,64.92
HUM_SUELO_02,2026-05-31 04:00:00+00:00,45.68
HUM_SUELO_03,2026-05-31 04:00:00+00:00,48.2
HUM_SUELO_04,2026-05-31 04:00:00+00:00,51.0
LUZ,2026-05-31 04:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 04:00:00+00:00,6.22
TEMP_AMB_40CM,2026-05-31 04:00:00+00:00,6.53
TEMP_SUELO_01,2026-05-31 04:00:00+00:00,12.78
TEMP_SUELO_02,2026-05-31 04:00:00+00:00,10.74
HUM_AMB_2M,2026-05-31 03:00:00+00:00,100.0
HUM_AMB_40CM,2026-05-31 03:00:00+00:00,96.94
HUM_SUELO_01,2026-05-31 03:00:00+00:00,65.0
HUM_SUELO_02,2026-05-31 03:00:00+00:00,45.92
HUM_SUELO_03,2026-05-31 03:00:00+00:00,48.36
HUM_SUELO_04,2026-05-31 03:00:00+00:00,51.32
LUZ,2026-05-31 03:00:00+00:00,0.0
TEMP_AMB_2M,2026-05-31 03:00:00+00:00,7.68
TEMP_AMB_40CM,2026-05-31 03:00:00+00:00,7.92
TEMP_SUELO_01,2026-05-31 03:00:00+00:00,13.14
TEMP_SUELO_02,2026-05-31 03:00:00+00:00,11.09
HUM_AMB_2M,2026-05-31 02:00:00+00:00,100.0
HUM_AMB_40CM,2026-05-31 02:00:00+00:00,97.05
HUM_SUELO_01,2026-05-31 02:00:00+00:00,65.04
HUM_SUELO_02,2026-05-31 02:00:00+00:00,45.92
HUM_SUELO_03,2026-05-31 02:00:00+00:00,49.0
HUM_SUELO_04,2026-05-31 02:00:00+00:00,51.96
LUZ,2026-05-31 02:00:00+00:00,0.0
